"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","FDIFLOW","INWARD","MLN_USD","Q","2019-Q1",81887,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2019-Q2",73108,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2019-Q3",53804,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2019-Q4",73255,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2020-Q1",43994,
"USA","FDIFLOW","INWARD","MLN_USD","Q","2020-Q2",17751,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q1",84709,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q2",109678,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q3",91044,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q4",36506,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q1",77780,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q2",94140,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q3",114267,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q4",61471,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q1",96107,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q2",79298,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q3",56178,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q4",42902,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q1",92393,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q2",97352,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q3",79550,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q4",36148,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q1",122413,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q2",82688,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q3",110080,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2017-Q4",38175,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q1",-54951,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q2",-106577,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q3",56659,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2018-Q4",-64485,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q1",-26979,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q2",95215,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q3",3505,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2019-Q4",47152,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q1",-1541,
"USA","FDIFLOW","OUTWARD","MLN_USD","Q","2020-Q2",67173,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2013-Q1",183869.28784315,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2013-Q2",176270.4337834,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2013-Q3",191705.97519596,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2013-Q4",147169.84334706,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2014-Q1",139443.58730868,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2014-Q2",163607.19410871,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2014-Q3",145626.55202341,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2014-Q4",233264.13247975,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2015-Q1",433864.31701819,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2015-Q2",188860.08357589,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2015-Q3",307028.43364307,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2015-Q4",341518.06017973,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2016-Q1",407511.40588268,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2016-Q2",256331.71171736,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2016-Q3",376751.02715271,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2016-Q4",375621.71273004,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2017-Q1",244045.02860955,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2017-Q2",326017.75138527,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2017-Q3",269680.99809817,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2017-Q4",149524.78728933,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2018-Q1",289293.73536485,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2018-Q2",140512.10957898,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2018-Q3",281379.53102822,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2018-Q4",338710.4514633,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2019-Q1",169761.83052653,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2019-Q2",180059.81888264,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2019-Q3",233718.59887774,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2019-Q4",268267.3091877,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2020-Q1",75425.785326809,
"OECD","FDIFLOW","INWARD","MLN_USD","Q","2020-Q2",52813.374754142,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q1",275619.14198325,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q2",177823.66235664,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q3",314919.23994081,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q4",228148.6191218,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q1",139636.23091111,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q2",247255.97536147,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q3",267759.68981399,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q4",233184.47252833,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q1",386705.29479663,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q2",230974.80846169,
"OECD","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q3",407783.29484007,
